case_id,denomination,security_thread,watermark,serial_valid,brightness,blur,risk_label
CC-00000,2000,True,True,False,0.49,0.29,1
CC-00001,100,False,True,True,0.451,0.634,0
CC-00002,500,True,True,True,0.38,0.511,0
CC-00003,500,True,False,True,0.785,0.035,0
CC-00004,2000,True,False,False,0.674,0.777,1
CC-00005,2000,True,True,True,0.722,0.811,0
CC-00006,2000,True,True,True,0.417,0.456,0
CC-00007,500,True,True,True,0.439,0.009,0
CC-00008,500,True,True,False,0.356,0.34,0
CC-00009,100,True,True,True,0.537,0.143,0
CC-00010,100,True,True,True,0.436,0.007,1
CC-00011,200,True,True,False,0.542,0.978,0
CC-00012,500,True,True,True,0.45,0.403,0
CC-00013,2000,False,True,True,0.629,0.074,0
CC-00014,500,True,False,True,0.685,0.279,0
CC-00015,500,False,True,True,0.337,0.272,0
CC-00016,200,True,True,False,0.763,0.366,1
CC-00017,500,True,False,False,0.757,0.406,0
CC-00018,2000,True,True,True,0.643,0.449,1
CC-00019,200,True,False,True,0.568,0.212,1
CC-00020,200,True,False,False,0.567,0.051,0
CC-00021,2000,False,True,True,0.639,0.689,1
CC-00022,500,True,True,True,0.317,0.206,1
CC-00023,200,False,True,True,0.763,0.158,0
CC-00024,500,True,True,True,0.437,0.149,1
CC-00025,2000,True,False,True,0.54,0.284,0
CC-00026,2000,True,True,True,0.739,0.496,0
CC-00027,2000,False,True,True,0.426,0.225,0
CC-00028,200,True,True,True,0.453,0.997,0
CC-00029,2000,False,False,True,0.31,0.773,1
CC-00030,500,True,True,True,0.522,0.947,0
CC-00031,100,True,True,True,0.47,0.667,0
CC-00032,200,False,True,False,0.646,0.31,1
CC-00033,2000,False,True,True,0.479,0.963,1
CC-00034,100,True,True,True,0.627,0.112,0
CC-00035,2000,False,True,True,0.315,0.01,1
CC-00036,100,False,True,True,0.615,0.578,0
CC-00037,100,True,True,True,0.636,0.926,0
CC-00038,2000,False,True,True,0.404,0.255,1
CC-00039,200,True,True,True,0.609,0.382,0
CC-00040,500,False,False,True,0.5,0.014,1
CC-00041,200,True,True,True,0.724,0.878,0
CC-00042,2000,True,True,True,0.38,0.042,0
CC-00043,100,True,True,True,0.444,0.599,0
CC-00044,2000,False,False,False,0.455,0.528,0
CC-00045,200,True,True,False,0.343,0.979,0
CC-00046,200,True,False,True,0.401,0.983,1
CC-00047,500,False,True,True,0.762,0.55,0
CC-00048,100,True,False,False,0.342,0.903,1
CC-00049,100,True,True,True,0.747,0.499,0
CC-00050,200,False,False,True,0.623,0.418,0
CC-00051,100,False,True,True,0.429,0.186,0
CC-00052,2000,True,True,False,0.315,0.816,1
CC-00053,2000,True,True,True,0.308,0.931,1
CC-00054,2000,True,True,True,0.396,0.706,0
CC-00055,100,False,True,True,0.561,0.049,0
CC-00056,2000,True,True,True,0.35,0.877,1
CC-00057,2000,True,True,True,0.361,0.919,1
CC-00058,100,False,False,False,0.365,0.63,0
CC-00059,100,True,False,True,0.797,0.553,0
CC-00060,100,False,False,True,0.712,0.933,0
CC-00061,200,True,False,True,0.75,0.646,0
CC-00062,100,True,True,True,0.508,0.683,0
CC-00063,500,False,True,True,0.385,0.144,0
CC-00064,100,False,True,True,0.313,0.821,1
CC-00065,2000,True,True,True,0.674,0.812,0
CC-00066,200,True,False,True,0.343,0.158,0
CC-00067,100,False,True,True,0.733,0.603,0
CC-00068,500,True,False,True,0.508,0.942,1
CC-00069,500,True,True,False,0.415,0.947,0
CC-00070,2000,True,True,True,0.726,0.621,0
CC-00071,200,False,True,True,0.675,0.79,1
CC-00072,200,True,True,False,0.427,0.186,1
CC-00073,2000,True,True,False,0.713,0.035,1
CC-00074,500,True,False,True,0.786,0.426,0
CC-00075,2000,True,True,True,0.505,0.961,1
CC-00076,2000,True,True,True,0.511,0.435,1
CC-00077,2000,True,True,False,0.737,0.491,1
CC-00078,200,True,False,True,0.526,0.637,1
CC-00079,2000,True,True,True,0.756,0.511,0
CC-00080,2000,True,True,True,0.554,0.08,1
CC-00081,200,True,True,False,0.709,0.992,0
CC-00082,100,False,True,False,0.65,0.281,0
CC-00083,2000,True,True,False,0.414,0.361,0
CC-00084,2000,True,True,False,0.53,0.845,0
CC-00085,2000,True,True,True,0.577,0.522,0
CC-00086,2000,False,True,False,0.619,0.746,0
CC-00087,200,True,True,False,0.641,0.997,1
CC-00088,200,True,True,True,0.38,0.888,0
CC-00089,100,False,True,False,0.467,0.959,0
CC-00090,100,False,True,True,0.338,0.621,0
CC-00091,200,True,True,True,0.301,0.641,0
CC-00092,100,False,True,True,0.537,0.364,1
CC-00093,500,True,True,False,0.473,0.658,1
CC-00094,500,False,True,True,0.429,0.013,1
CC-00095,2000,True,True,False,0.69,0.613,0
CC-00096,200,True,False,True,0.647,0.079,1
CC-00097,500,True,True,False,0.498,0.278,1
CC-00098,100,True,False,True,0.737,0.084,0
CC-00099,500,True,False,True,0.501,0.77,0
CC-00100,2000,True,True,True,0.619,0.789,0
CC-00101,200,True,True,True,0.597,0.01,0
CC-00102,2000,False,True,True,0.587,0.302,1
CC-00103,200,True,True,True,0.69,0.243,1
CC-00104,200,False,True,True,0.676,0.719,0
CC-00105,2000,True,True,True,0.795,0.107,0
CC-00106,2000,True,True,False,0.754,0.346,0
CC-00107,500,False,True,True,0.59,0.498,0
CC-00108,2000,True,True,False,0.662,0.966,0
CC-00109,100,True,True,True,0.323,0.72,0
CC-00110,100,False,True,True,0.606,0.317,1
CC-00111,100,True,True,True,0.515,0.674,0
CC-00112,100,False,True,False,0.44,0.578,1
CC-00113,2000,True,False,False,0.386,0.317,0
CC-00114,2000,True,False,True,0.786,0.085,0
CC-00115,2000,True,False,True,0.361,0.828,0
CC-00116,200,True,True,True,0.734,0.865,1
CC-00117,200,True,True,False,0.447,0.879,0
CC-00118,100,True,True,True,0.789,0.92,0
CC-00119,200,False,True,True,0.453,0.361,0
CC-00120,500,True,True,True,0.356,0.082,1
CC-00121,200,True,True,False,0.548,0.606,0
CC-00122,500,False,True,True,0.787,0.244,0
CC-00123,500,True,False,False,0.342,0.565,1
CC-00124,200,False,True,True,0.457,0.83,0
CC-00125,100,False,False,True,0.344,0.301,1
CC-00126,500,False,True,False,0.479,0.918,0
CC-00127,200,True,True,True,0.519,0.321,0
CC-00128,2000,False,True,True,0.431,0.718,0
CC-00129,2000,False,True,True,0.599,0.355,1
CC-00130,100,True,True,True,0.684,0.978,0
CC-00131,100,False,True,True,0.531,0.718,0
CC-00132,2000,True,True,True,0.564,0.899,0
CC-00133,100,True,True,False,0.697,0.428,0
CC-00134,100,False,True,True,0.728,0.927,0
CC-00135,200,True,True,True,0.773,0.232,0
CC-00136,200,True,True,True,0.482,0.959,0
CC-00137,200,True,True,False,0.519,0.963,1
CC-00138,2000,False,True,True,0.701,0.26,1
CC-00139,2000,False,True,True,0.344,0.83,0
CC-00140,500,False,True,True,0.67,0.975,1
CC-00141,100,True,True,True,0.477,0.147,1
CC-00142,500,False,True,True,0.762,0.894,0
CC-00143,2000,False,False,True,0.767,0.431,0
CC-00144,200,True,True,True,0.55,0.491,0
CC-00145,500,True,True,True,0.45,0.325,0
CC-00146,200,True,True,True,0.393,0.796,1
CC-00147,500,True,True,True,0.447,0.764,1
CC-00148,100,True,True,True,0.369,0.937,0
CC-00149,2000,True,True,True,0.679,0.761,1
CC-00150,2000,True,False,True,0.302,0.356,1
CC-00151,500,False,True,True,0.556,0.602,0
CC-00152,2000,True,True,True,0.478,0.565,0
CC-00153,2000,True,True,True,0.462,0.484,0
CC-00154,200,True,True,True,0.379,0.251,1
CC-00155,200,True,False,True,0.606,0.21,0
CC-00156,200,True,True,False,0.685,0.222,1
CC-00157,2000,True,True,True,0.721,0.619,0
CC-00158,2000,True,True,True,0.703,0.011,1
CC-00159,500,True,True,True,0.324,0.217,0
CC-00160,100,True,True,False,0.54,0.079,1
CC-00161,200,False,False,False,0.423,0.303,1
CC-00162,2000,True,True,False,0.697,0.218,0
CC-00163,500,False,True,True,0.489,0.788,0
CC-00164,200,True,True,True,0.421,0.71,0
CC-00165,2000,True,True,True,0.774,0.246,0
CC-00166,2000,True,True,True,0.538,0.745,0
CC-00167,100,True,True,True,0.719,0.822,0
CC-00168,200,True,True,True,0.496,0.781,0
CC-00169,500,True,True,False,0.445,0.974,0
CC-00170,2000,True,True,True,0.769,0.957,1
CC-00171,100,False,False,True,0.532,0.235,0
CC-00172,200,False,True,True,0.659,0.57,1
CC-00173,500,True,True,True,0.404,0.192,0
CC-00174,2000,True,True,True,0.537,0.848,1
CC-00175,2000,True,False,False,0.461,0.524,0
CC-00176,500,True,True,True,0.728,0.048,1
CC-00177,100,True,True,True,0.33,0.345,0
CC-00178,2000,False,True,True,0.346,0.569,1
CC-00179,200,True,True,True,0.403,0.041,0
CC-00180,500,True,True,True,0.411,0.895,0
CC-00181,2000,True,True,True,0.369,0.628,1
