report_id,category,district,amount,risk_score,status
SX-100000,digital_arrest,Lucknow,730044,33,resolved
SX-100001,phishing,Jaipur,475203,91,resolved
SX-100002,scam_call,Central Delhi,539050,70,investigating
SX-100003,scam_call,Kolkata,413071,37,submitted
SX-100004,digital_arrest,Jaipur,394115,34,submitted
SX-100005,upi_fraud,Chennai,134956,64,investigating
SX-100006,scam_call,Mumbai,395234,23,submitted
SX-100007,scam_call,Central Delhi,195684,22,verified
SX-100008,phishing,Lucknow,80787,81,submitted
SX-100009,scam_call,Central Delhi,98669,94,resolved
SX-100010,phishing,Bengaluru,554582,71,verified
SX-100011,upi_fraud,Jaipur,335064,21,investigating
SX-100012,phishing,Mumbai,704519,92,submitted
SX-100013,scam_call,Jaipur,311433,78,investigating
SX-100014,counterfeit,Central Delhi,496042,68,submitted
SX-100015,phishing,Mumbai,676294,26,verified
SX-100016,scam_call,Lucknow,114232,83,resolved
SX-100017,counterfeit,Central Delhi,153687,15,submitted
SX-100018,digital_arrest,Mumbai,770274,17,investigating
SX-100019,digital_arrest,Chennai,271566,73,investigating
SX-100020,counterfeit,Jaipur,746968,19,submitted
SX-100021,upi_fraud,Kolkata,203411,88,resolved
SX-100022,phishing,Kolkata,343251,65,investigating
SX-100023,digital_arrest,Mumbai,563696,37,verified
SX-100024,digital_arrest,Pune,314483,43,investigating
SX-100025,upi_fraud,Pune,402419,64,verified
SX-100026,digital_arrest,Chennai,525764,22,submitted
SX-100027,digital_arrest,Central Delhi,572325,93,submitted
SX-100028,scam_call,Bengaluru,276291,43,verified
SX-100029,counterfeit,Kolkata,162120,46,submitted
SX-100030,digital_arrest,Pune,130565,87,resolved
SX-100031,upi_fraud,Kolkata,445746,28,submitted
SX-100032,upi_fraud,Kolkata,122048,57,investigating
SX-100033,phishing,Mumbai,567202,88,verified
SX-100034,upi_fraud,Pune,247986,20,submitted
SX-100035,phishing,Chennai,733317,49,submitted
SX-100036,counterfeit,Bengaluru,149125,55,verified
SX-100037,digital_arrest,Pune,498126,96,verified
SX-100038,phishing,Chennai,313552,76,resolved
SX-100039,phishing,Chennai,575916,93,resolved
SX-100040,counterfeit,Jaipur,224078,93,verified
SX-100041,scam_call,Central Delhi,677743,28,submitted
SX-100042,upi_fraud,Pune,207033,93,submitted
SX-100043,phishing,Mumbai,509635,74,resolved
SX-100044,phishing,Jaipur,358418,73,resolved
SX-100045,phishing,Chennai,146113,29,investigating
SX-100046,phishing,Bengaluru,382548,27,resolved
SX-100047,counterfeit,Bengaluru,324676,41,verified
SX-100048,counterfeit,Mumbai,392634,53,resolved
SX-100049,upi_fraud,Lucknow,552758,96,submitted
SX-100050,upi_fraud,Lucknow,137207,34,verified
SX-100051,upi_fraud,Mumbai,721008,97,verified
SX-100052,phishing,Chennai,407308,82,verified
SX-100053,phishing,Jaipur,782705,80,investigating
SX-100054,upi_fraud,Jaipur,456798,54,investigating
SX-100055,digital_arrest,Mumbai,598521,81,resolved
SX-100056,digital_arrest,Kolkata,603636,71,resolved
SX-100057,scam_call,Chennai,569072,97,submitted
SX-100058,digital_arrest,Chennai,504909,24,investigating
SX-100059,digital_arrest,Pune,469788,26,resolved
SX-100060,counterfeit,Mumbai,195258,60,submitted
SX-100061,digital_arrest,Lucknow,347120,20,submitted
SX-100062,scam_call,Bengaluru,194175,17,investigating
SX-100063,upi_fraud,Bengaluru,128801,68,resolved
SX-100064,digital_arrest,Central Delhi,665537,25,verified
SX-100065,digital_arrest,Pune,643836,42,verified
SX-100066,digital_arrest,Kolkata,41246,29,submitted
SX-100067,phishing,Central Delhi,75733,93,verified
SX-100068,phishing,Lucknow,417167,92,verified
SX-100069,upi_fraud,Bengaluru,515134,88,resolved
SX-100070,counterfeit,Bengaluru,481837,62,verified
SX-100071,counterfeit,Kolkata,667191,77,submitted
SX-100072,scam_call,Mumbai,461765,19,verified
SX-100073,digital_arrest,Jaipur,465310,24,resolved
SX-100074,digital_arrest,Jaipur,20767,95,investigating
